customer_id,name,age,gender,tenure,monthly_charges,total_charges,internet_service,payment_method,contract_type,churn
C039,Rajeesh P,39,male,30,730,29000,Fiber optic,Credit Card,One year,Yes
C040, Diya S,25,female,8,520.25,4500,Fiberr,Cash,Month-to-month,no
C041,Akhil K,30,male,20,650,16000,DSL ,UPI,Month-to-month,Yes
C042,Reshma M,28,female,NAN,590,??,Fiber optic,Debit Card,Mont-to-mont,no
C043,Sachin P,42,male,48,820,40000,Fiberr,Netbanking,Two year,Yes
C044, Megha  T,24,female,6,510,2700,DSL,UPI,One year,No
C045,Suhail K,34,male,22,680,13000,Fiberr,Credit Card,Month-to-mont,Yes
C046, Divya L,29,female,10,590.5,NAN,DSL ,Debit Card,Mont-to-mont,no
C047,Joel A,45,male,55,850,47000,Fiber optic,UPI,Two year,Yes
C048, Nandana S,23,female,4,520,2000,DSL ,Credit Card,Month-to-mont,no
C049,Abin B,33,male,25,690,15000,Fiberr,Netbanking,Month-to-mont,Yes
C050, Athulya M,27,female,12,600,7500,fiber optic,UPI,Yearly,No
C051,Rahim T,41,male,50,810,42000,DSL ,UPI,Two year,Yes
C052,Meenu K,25,female,7,540.5,3500,Fiberr,Credit Card,Month-to-mont,no
C053,Sarath P,36,male,32,700,18000,Fiber optic,Cash,One year,Yes
C054, Aiswarya V,29,female,14,600,8500,DSL,Netbanking,Mont-to-mont,no
C055,Amal R,38,male,NAN,720,31000,Fiberr,UPI,Month-to-mont,Yes
C056, Fathima M,24,female,5,499,2300,Fiber optic,Debit Card,Month-to-mont,no
C057,Jinson K,40,male,40,740,26000,DSL ,Credit Card,One year,Yes
C058, Riya S,26,female,9,580,5800,Fiberr,Cash,Month-to-mont,no
C059,Afsal P,35,male,20,690,14500,Fiber optic,UPI,Mont-to-mont,Yes
C060, Neethu L,28,female,11,600,7500,DSL ,Netbanking,One year,no
C061,Varun T,44,male,52,830,41000,Fiberr,Credit Card,Two year,Yes
C062, Vidya  K,27,female,13,590,7000,Fiber optic,UPI,Month-to-mont,no
C063,Binoy M,33,male,25,680,16000,DSL,Debit Card,Mont-to-mont,Yes
C064, Nivya P,22,female,3,480,1400,Fiberr,Cash,Month-to-mont,no
C065,Renjith K,39,male,30,720,28000,Fiber optic,UPI,One year,Yes
C066, Athira L,29,female,15,610,9000,DSL ,Credit Card,Mont-to-mont,no
C067,Kishore P,46,male,60,870,45000,Fiberr,Netbanking,Two year,Yes
C068, Arya T,24,female,6,510,2400,Fiber optic,UPI,Month-to-mont,no
C069,Deepak S,,,,,,,,,
